,count,mean,std,min,1%,5%,50%,95%,99%,max
Band_104,215604.0,0.3035863114545866,0.08121368704297707,0.0035999999381601,0.144800007343292,0.18690000474453,0.297699987888336,0.441799998283386,0.5435970222949982,0.788399994373322
Band_105,215604.0,0.3083776887475599,0.08277779311459696,0.0035999999381601,0.14640000462532,0.189400002360344,0.30239999294281,0.449200004339218,0.554099977016449,0.797299981117249
Band_106,215604.0,0.31307901524058285,0.08431269844326988,0.0038000000640749,0.148499995470047,0.191899999976158,0.306800007820129,0.458200007677078,0.5626969748735424,0.802100002765656
Band_107,215604.0,0.31843131665455054,0.08626946182007447,0.0038999998942017,0.150700002908707,0.194600000977516,0.311699986457825,0.469900012016296,0.571300029754639,0.843999981880188
Band_108,215604.0,0.32386518664310576,0.08806226933888694,0.0046999999321997,0.153600007295609,0.197699993848801,0.316799998283386,0.482400000095367,0.578700006008148,0.879899978637695
Band_109,215604.0,0.3264393346302791,0.08859060716346688,0.0040000001899898,0.155000001192093,0.199200004339218,0.319499999284744,0.48728500604629277,0.5799939841032036,0.896799981594086
Band_110,215604.0,0.3281680914775965,0.08822003790043506,0.0043999999761581,0.156299993395805,0.200699999928474,0.321700006723404,0.486299991607666,0.578299999237061,0.888999998569489
Band_111,215604.0,0.32920832961385504,0.08714595312557218,0.0044999998062849,0.157000005245209,0.202099993824959,0.323599994182587,0.481400012969971,0.574199974536896,0.862100005149841
Band_112,215604.0,0.32121987718145883,0.08309584282553822,0.0038000000640749,0.154400005936623,0.198500007390976,0.316700011491776,0.461400002241135,0.55239999294281,0.799799978733063
Band_113,215604.0,0.3167228924411638,0.08060901920334061,0.003000000026077,0.152300000190735,0.196199998259544,0.31360000371933,0.449499994516373,0.5371969753503805,0.765900015830994
Band_114,215604.0,0.30545798728709816,0.07635614552020394,0.0035999999381601,0.14980300262570417,0.190099999308586,0.30349999666214,0.431400001049042,0.501699984073639,0.739300012588501
Band_115,215604.0,0.2890702087971953,0.0717318469578441,0.0041999998502433,0.143999993801117,0.179100006818771,0.288300007581711,0.406100004911423,0.45770001411438,0.709299981594086
Band_116,215604.0,0.28804673197289565,0.0725038639143289,0.0052000000141561,0.14300000667572,0.177200004458427,0.286700010299683,0.406300008296967,0.45660001039505,0.706900000572205
Band_117,215604.0,0.2845653610346365,0.07313549881868832,0.0054999999701976,0.140300005674362,0.174099996685982,0.281800001859665,0.404100000858307,0.453299999237061,0.700299978256226
Band_118,215604.0,0.282071133189061,0.07448717323139369,0.0051000001840293,0.137600004673004,0.170900002121925,0.279399991035461,0.403400003910065,0.451999992132187,0.697000026702881
Band_119,215604.0,0.28035874240194436,0.07597550191973991,0.0049000000581145,0.13510000705719,0.167999997735024,0.278499990701675,0.403200000524521,0.451499998569489,0.696600019931793
Band_120,215604.0,0.28093345716217955,0.07773330870026701,0.0052000000141561,0.133000001311302,0.166199997067451,0.279900014400482,0.405900001525879,0.453900009393692,0.699500024318695
Band_121,215604.0,0.28515262470383457,0.08005932995341247,0.0057000000961124,0.131999999284744,0.165800005197525,0.284599989652634,0.412999987602234,0.461699992418289,0.705900013446808
Band_122,215604.0,0.28992365449696395,0.08210266798951872,0.0049999998882412,0.131600007414818,0.165800005197525,0.289700001478195,0.420399993658066,0.46959999203682,0.71289998292923
Band_123,215604.0,0.29378333561757586,0.08362806444445836,0.0057999999262392,0.131400004029274,0.165900006890297,0.293799996376038,0.42629998922348,0.47589699476957376,0.722599983215332
Band_124,215604.0,0.2974220738007903,0.08426988700379183,0.0065999999642372,0.133300006389618,0.167999997735024,0.297500014305115,0.43079999089241,0.480199992656708,0.719500005245209
Band_125,215604.0,0.30155207280615276,0.08452941053131958,0.0086000002920627,0.1366030026972292,0.171700000762939,0.301699995994568,0.43529999256134,0.484600007534027,0.725199997425079
Band_126,215604.0,0.30234514200784546,0.08500522045378721,0.006000000052154,0.136500000953674,0.172099992632866,0.302500009536743,0.436599999666214,0.484899997711182,0.7257000207901
Band_127,215604.0,0.30173249938753766,0.08474144437632512,0.0065000001341104,0.136500000953674,0.171599999070168,0.302199989557266,0.4346850097179387,0.481799989938736,0.726100027561188
Band_128,215604.0,0.2981146375030595,0.08390030457100402,0.0063000000081956,0.135000005364418,0.168300002813339,0.299400001764298,0.428299993276596,0.474999994039536,0.723200023174286
Band_129,215604.0,0.29217578431188884,0.08287848211542011,0.0054000001400709,0.131699994206429,0.162699997425079,0.294699996709824,0.419099986553192,0.465900003910065,0.714699983596802
Band_130,215604.0,0.15349463369120633,0.07959068168970909,-0.0140000004321337,0.0120000001043081,0.046000000089407,0.14470000565052,0.287800014019012,0.333999991416931,0.594299972057343
Band_131,215604.0,0.15162305199591455,0.07704015956641895,-0.0078999996185302,0.0115000000223517,0.0467999987304211,0.143700003623962,0.28099998831749,0.325300008058548,0.567099988460541
Band_132,215604.0,0.15553809485267917,0.07729802014577612,-0.0027000000700354,0.0120999999344349,0.048200000077486,0.149399995803833,0.283699989318848,0.32719699591398277,0.568400025367737
Band_133,215604.0,0.16055788992227416,0.07738938946308153,0.0020000000949949,0.0141000002622604,0.0509999990463257,0.156200006604195,0.287400007247925,0.329600006341934,0.572099983692169
